"","sID","group","gender","age","righthanded","english","run1Acc","run2Acc","run3Acc","run4Acc","ETPreTR","ETPreUN","ETPostTR","ETPostUN","ErrPreTR","ErrPreUN","ErrPostTR","ErrPostUN","ITPreTR","ITPreUN","ITPostTR","ITPostUN","WM","IQ2","IQ5","IQ9","IQsum","Extrov","Agr","Consc","Neur","Open","PT","FS","EC","PD","NPI","InterDep","InDep","trapBIG","trapIRI","trapNPI","trapSC"
"83","83OA","OA","Female",19,"Yes","Yes",57.14286,75,71.42857,62.5,2.3005,2.5876,1.9148,2.1494,0.1,0,0.2,0.1,0.82036,1.288,1.2006,1.1051,181,6,4,10,20,4,4.2222,3.4444,2.5,4.2,27,22,28,8,21,39,49,0,0,0,2
"84","84OA","OA","Female",18,"Yes","Yes",100,100,100,100,1.47,1.3662,1.12,1.2204,0.2,0.1,0,0.1,0.80321,0.79991,0.44619,0.53373,204,13,8,10,31,2.25,4.4444,3.3333,4.75,3.2,17,26,28,14,5,51,40,0,1,0,2
"85","85OA","OA","Female",19,"Yes","Yes",57.14286,100,100,83.33333,1.426,1.552,1.2608,1.408,0.2,0.2,0,0.1,0.49991,0.68486,0.35856,0.75608,209,9,17,9,35,1.75,3.4444,2.4444,3.75,2.7,10,14,20,17,8,41,30,0,0,0,2
"86","86OA","OA","Female",18,"Yes","Yes",85.71429,75,100,100,2.0829,2.2342,0.97692,1.4829,0.1,0.7,0,0.4,0.55622,0.62141,0.56646,0.60938,191,8,14,10,32,3.5,3.4444,2.7778,4.25,4,20,20,21,20,4,49,43,0,0,0,1
"87","87OA","OA","Female",18,"Yes","Yes",71.42857,85.71429,71.42857,85.71429,2.0816,1.7208,1.6,1.357,0.5,0,0,0.2,1.3648,0.88631,0.90017,0.6681,204,13,15,13,41,3.375,3.6667,3.4444,3.75,2.9,16,22,26,13,8,45,32,0,0,0,1
"88","88OA","OA","Male  ",19,"Yes","Yes",100,83.33333,87.5,100,1.6888,1.4302,1.3345,1.153,0,0.1,0.2,0.2,0.86927,0.97876,0.46073,0.52134,211,13,19,11,43,2.75,3.4444,2.6667,2.875,2.7,15,19,7,7,10,40,33,0,1,1,2
"90","90OA","OA","Male  ",18,"Yes","Yes",100,100,100,100,2.0275,1.9853,1.2142,1.0848,0.3,0.4,0.1,0.5,1.0082,1.0068,0.75723,0.46286,193,12,14,7,33,3.75,3.5556,3.4444,2,2.4,13,8,18,9,8,38,41,0,0,0,1
"92","92OA","OA","Female",18,"Yes","Yes",100,100,100,100,1.4281,1.456,1.341,1.3962,0.2,0.5,0,0.1,1.0386,0.95305,0.76993,0.9874,191,15,3,11,29,3.25,3.4444,2.7778,3.875,3.8,10,24,16,13,23,38,42,0,1,0,2
"93","93OA","OA","Female",19,"Yes","No ",83.33333,83.33333,71.42857,100,2.5502,2.585,1.5536,1.8949,0.1,0.2,0,0.3,1.2768,1.2502,0.61605,1.175,218,5,18,9,32,2.5,2.8889,3.1111,3.25,3.5,14,6,12,9,17,34,34,2,1,0,2
"94","94OA","OA","Female",21,"Yes","Yes",100,85.71429,83.33333,71.42857,1.2268,1.297,1.0193,1.2414,0.1,0.2,0.5,0.4,0.60265,0.67334,0.36434,0.52499,192,10,4,8,22,3.375,4.4444,4,2.75,4.4,24,23,24,1,9,46,35,0,0,0,1
"97","97OA","OA","Male  ",18,"Yes","Yes",85.71429,100,100,100,1.5254,1.992,1.48,1.6432,0.7,0,0.2,0,0.38143,1.3754,0.48674,1.1548,195,12,14,7,33,4.75,4.2222,3.8889,1.75,3.7,22,27,26,1,19,37,52,0,1,0,1
"98","98OA","OA","Male  ",19,"Yes","Yes",87.5,100,100,100,0.9874,0.88798,0.9944,1.049,0.3,0.3,0,0.2,0.52208,0.48355,0.38492,0.45936,205,13,20,14,47,4,3.8889,2.7778,1.75,3.4,16,15,11,6,12,45,47,0,1,0,0
"99","99OA","OA","Female",20,"Yes","Yes",75,100,85.71429,100,2.4251,2.4356,1.642,1.768,0.3,0.1,0.2,0.2,2.3037,2.1953,0.98881,0.97765,197,10,11,12,33,3.875,4.6667,3.6667,3.875,3.5,22,18,24,18,5,48,34,0,0,1,0
"100","100OA","OA","Male  ",20,"Yes","Yes",100,100,85.71429,100,1.76,1.776,1.3529,1.9154,0,0.6,0.1,0.3,0.86945,0.90574,0.58907,0.85984,206,13,12,9,34,3.625,4.1111,3.6667,2.125,3.1,15,22,23,7,22,46,47,0,1,0,0
"103","103OA","OA","Male  ",20,"Yes","Yes",85.71429,85.71429,87.5,80,1.484,1.7852,1.16,1.664,0.4,0.3,0.2,0.2,1.302,0.82647,0.52253,0.96027,199,2,18,9,29,4.625,4.3333,3,2.5,4.5,22,28,27,9,15,53,52,1,1,0,0
"104","104OA","OA","Male  ",19,"Yes","Yes",75,85.71429,100,83.33333,2.0648,3.884,1.3644,2.4434,0,0.8,0.1,0.3,1.4085,1.2087,0.60773,1.12,194,8,12,12,32,3.375,3.2222,1.8889,2.625,3.1,20,17,18,11,11,41,38,0,1,0,0
"105","105OA","OA","Female",18,"Yes","Yes",87.5,100,85.71429,100,1.848,1.8231,1.7929,1.9454,0.2,0.1,0.1,0.4,0.51855,0.88307,0.90256,0.49893,194,9,11,12,32,3.75,3.8889,4.4444,2.375,3.2,13,18,19,19,17,46,46,1,0,0,1
"107","107OA","OA","Female",19,"Yes","Yes",71.42857,57.14286,100,80,2.992,2.9376,2.9728,3.104,0.9,0.5,0.5,0.9,1.5297,0.75814,1.8651,1.2189,191,13,5,10,28,2.875,3.4444,2,4,3.2,18,24,20,13,10,52,45,1,0,0,0
"108","108OA","OA","Male  ",21,"Yes","Yes",100,100,100,100,1.891,2.2587,1.2696,2.2,0.2,0.7,0,0.1,0.63561,1.5001,0.40931,0.61981,205,14,19,12,45,2.625,3.3333,3.3333,1.5,3.5,18,12,15,7,4,46,37,0,0,0,0
"109","109OA","OA","Female",20,"Yes","Yes",85.71429,85.71429,87.5,60,2.0018,2.2104,1.5248,1.6373,0.1,0,0,0.1,1.3193,0.81889,0.73077,0.98889,158,10,10,8,28,3.875,3.1111,2.6667,3.375,3.8,17,19,22,10,11,35,42,0,0,0,0
"112","112OA","OA","Female",21,"Yes","Yes",75,100,100,100,1.68,2.532,1.4656,1.872,0.2,0.6,0,0.6,0.63029,0.73011,0.50699,0.8344,199,12,19,10,41,3.875,4.6667,4.1111,4,3.8,27,27,28,16,6,46,39,1,0,0,1
"113","113OA","OA","Female",19,"Yes","Yes",100,85.71429,100,100,2.304,1.6502,1.3289,1.424,0.4,0.3,0.1,0,0.44359,0.54077,0.4358,0.48043,199,12,13,12,37,3.875,4.2222,3.6667,3.375,3.1,23,23,22,14,7,48,43,0,1,0,0
"114","114OA","OA","Male  ",19,"Yes","Yes",50,100,100,83.33333,1.4703,2.468,1.242,2.1749,0.1,0.2,0.2,0.3,0.79502,1.2227,0.56835,0.71093,176,9,8,12,29,3.125,4,2.7778,3,3.3,17,19,15,13,8,43,37,2,3,1,1
"115","115OA","OA","Female",20,"Yes","Yes",75,85.71429,57.14286,83.33333,2.3119,1.8773,1.2506,1.5863,0.7,0.4,0.4,0.3,1.458,0.85966,0.58257,0.9899,149,7,14,11,32,4.125,3.2222,2.6667,3.875,3.3,18,16,17,19,14,41,40,0,0,1,1
"117","117OA","OA","Female",18,"Yes","Yes",71.42857,71.42857,87.5,80,1.3467,1.544,1.219,1.728,0.1,0.4,0.2,0.4,0.8577,0.58557,0.47346,0.66838,204,7,14,10,31,3.875,2.4444,3.2222,4,3.7,7,25,15,14,22,51,46,0,0,0,0
